"","x","y","na.x","size","vertex.names","xend","yend","na.y"
"1",0.588955192690404,0.482408460282889,FALSE,79,"lisamurkowski",0.588955192690404,0.482408460282889,NA
"2",0.588261300134886,0.435463145163384,FALSE,79,"SenJohnMcCain",0.588261300134886,0.435463145163384,NA
"3",0.357799000034154,0.46985362703527,FALSE,37,"SenJohnKennedy",0.357799000034154,0.46985362703527,NA
"4",0.547461983350441,0.677553075157121,FALSE,53,"SenMarkey",0.547461983350441,0.677553075157121,NA
"5",0.597353181301204,0.621879394915756,FALSE,65,"SenJeffMerkley",0.597353181301204,0.621879394915756,NA
"6",0.882180800425035,0.556679954160469,FALSE,3,"SenShelby",0.882180800425035,0.556679954160469,NA
"7",0.414423812416832,0.220672686462118,FALSE,3,"SenDanSullivan",0.414423812416832,0.220672686462118,NA
"8",0.57573597201309,0.158078801115765,FALSE,2,"JohnBoozman",0.57573597201309,0.158078801115765,NA
"9",0.805198490793804,0.379263323894179,FALSE,3,"SenFeinstein",0.805198490793804,0.379263323894179,NA
"10",0.744106586340036,0.609844572725945,FALSE,4,"SenBennetCO",0.744106586340036,0.609844572725945,NA
"11",0.7621536479532,0.194355215242757,FALSE,2,"SenCoryGardner",0.7621536479532,0.194355215242757,NA
"12",0.608315474195652,0.767078346388398,FALSE,4,"SenBlumenthal",0.608315474195652,0.767078346388398,NA
"13",0.802969114642898,0.558691933992915,FALSE,4,"SenatorCarper",0.802969114642898,0.558691933992915,NA
"14",0.867054522972615,0.597837331554325,FALSE,3,"ChrisCoons",0.867054522972615,0.597837331554325,NA
"15",0.376322302378813,0.556591197609969,FALSE,5,"sendavidperdue",0.376322302378813,0.556591197609969,NA
"16",0.686148456342752,0.158941084478242,FALSE,2,"SenatorIsakson",0.686148456342752,0.158941084478242,NA
"17",0.270370484186378,0.651679986941031,FALSE,3,"brianschatz",0.270370484186378,0.651679986941031,NA
"18",0.801219180201524,0.684250072240331,FALSE,4,"maziehirono",0.801219180201524,0.684250072240331,NA
"19",0.557708414315835,0.314820620213066,FALSE,4,"MikeCrapo",0.557708414315835,0.314820620213066,NA
"20",0.185568017329504,0.445194434687204,FALSE,2,"SenatorRisch",0.185568017329504,0.445194434687204,NA
"21",0.753526672028023,0.498979575591419,FALSE,4,"SenDuckworth",0.753526672028023,0.498979575591419,NA
"22",0.509058614935826,0.579054930630095,FALSE,5,"SenatorDurbin",0.509058614935826,0.579054930630095,NA
"23",0.892931981733761,0.71879780424537,FALSE,2,"SenDonnelly",0.892931981733761,0.71879780424537,NA
"24",1,0.448987375603824,FALSE,1,"SenToddYoung",1,0.448987375603824,NA
"25",0.8688026091745,0.293249336504907,FALSE,2,"SenPatRoberts",0.8688026091745,0.293249336504907,NA
"26",0.846411291739543,0.414732677446056,FALSE,3,"JerryMoran",0.846411291739543,0.414732677446056,NA
"27",0.274758392753096,0.312969557659764,FALSE,3,"SenateMajLdr",0.274758392753096,0.312969557659764,NA
"28",0.968579771839373,0.315594607674718,FALSE,1,"RandPaul",0.968579771839373,0.315594607674718,NA
"29",0.337309768628696,0.524564819244131,FALSE,4,"SenatorCollins",0.337309768628696,0.524564819244131,NA
"30",0.474544898828045,0.640716125218343,FALSE,5,"SenatorCardin",0.474544898828045,0.640716125218343,NA
"31",0.689828065220617,0.478852834213884,FALSE,4,"SenWarren",0.689828065220617,0.478852834213884,NA
"32",0.513920446636208,0.86981087534515,FALSE,3,"SenGaryPeters",0.513920446636208,0.86981087534515,NA
"33",0.756761521353248,0.353727429626564,FALSE,3,"SenStabenow",0.756761521353248,0.353727429626564,NA
"34",0.331634920849322,0.579935221252755,FALSE,5,"amyklobuchar",0.331634920849322,0.579935221252755,NA
"35",0.318333520691468,0.346694815043109,FALSE,3,"SenThadCochran",0.318333520691468,0.346694815043109,NA
"36",0.335824698657038,0.231206119084791,FALSE,3,"SenatorWicker",0.335824698657038,0.231206119084791,NA
"37",0.337335918006055,0.29271605209781,FALSE,3,"RoyBlunt",0.337335918006055,0.29271605209781,NA
"38",0.804761896010803,0.218876684978551,FALSE,2,"SteveDaines",0.804761896010803,0.218876684978551,NA
"39",0.838405914611154,0.495785655237789,FALSE,3,"SenatorTester",0.838405914611154,0.495785655237789,NA
"40",0.727782461987988,0.560317131283611,FALSE,4,"SenatorFischer",0.727782461987988,0.560317131283611,NA
"41",0.453833680451714,0.705974921665529,FALSE,5,"SenCortezMasto",0.453833680451714,0.705974921665529,NA
"42",0.707680258121591,0.702372333567029,FALSE,4,"SenDeanHeller",0.707680258121591,0.702372333567029,NA
"43",0.480230189449927,0.769009181261516,FALSE,4,"SenatorShaheen",0.480230189449927,0.769009181261516,NA
"44",0.431634466369745,0.579629372639282,FALSE,5,"SenatorHassan",0.431634466369745,0.579629372639282,NA
"45",0.805010276385614,0.630640710253542,FALSE,4,"CoryBooker",0.805010276385614,0.630640710253542,NA
"46",0.756322686546328,0.666578659175273,FALSE,4,"SenatorMenendez",0.756322686546328,0.666578659175273,NA
"47",0.706757403291462,0.745492372853174,FALSE,4,"MartinHeinrich",0.706757403291462,0.745492372853174,NA
"48",0.577845518045107,0.766921618277226,FALSE,4,"SenatorTomUdall",0.577845518045107,0.766921618277226,NA
"49",0.746203902447097,0.715239125445198,FALSE,4,"SenSchumer",0.746203902447097,0.715239125445198,NA
"50",0.492918361377059,0.325235975758731,FALSE,4,"SenatorBurr",0.492918361377059,0.325235975758731,NA
"51",0.572934926925712,0.397244097154177,FALSE,5,"SenThomTillis",0.572934926925712,0.397244097154177,NA
